Text,Score
دوري أبطال أوروبا: إنتر ميلان-أتلتيكو مدريد ونابولي-برشلونة أبرز مواجهتي الدور ثمن النهائي,3.6
كرة القدم: استئناف مباريات الدوري التركي في 19 كانون الأول بعد تعرض حكم للاعتداء,6.2
دوري أبطال أوروبا: يونايتد يودع البطولة بخسارته على ملعبه أمام بايرن وتأهل نابولي وكوبنهاغن,5.4
بمشاركة الأهلي واتحاد جدة... السعودية تحتضن النسخة العشرين من بطولة كأس العالم للأندية,3.7
"لماذا ""فاز"" النيجيري أوسيمهن على صلاح وحكيمي في السباق لجائزة أفضل  لاعب أفريقي لعام 2023؟",2.3
المهاجم النيجيري فيكتور أوسيمهن يفوز بجائزة أفضل لاعب أفريقي لعام 2023,4.3
كأس الاتحاد الأفريقي: نهضة بركان واتحاد الجزائر يواصلان انطلاقتهما المثالية في دور المجموعات,2.1
المراكز النفسية في ألمانيا تدق ناقوس الخطر,0.7
اللغة العربية ''لغة الشعر والفنون'',0.5
هل تنجح الوساطات بين إسرائيل وحماس لتحقيق اتفاق هدنة جديدة؟,1.0
جريدة ليبيراسيون الفرنسية: إسرائيل 7 من أكتوبر.. مجزرة وتضليل,0.9
"حكيمي، بونو، الركراكي، ""أسود الأطلس"".. نحو هيمنة مغربية على حفل جوائز الاتحاد الأفريقي لكرة القدم؟",4.7
إندريك.. نجم برازيلي يافع على خطى بيليه ونيمار خطفه ريال مدريد الإسباني,2.8
دوري أبطال أفريقيا: تعادل مخيب للأهلي مع بلوزداد والنجم الساحلي والوداد ينعشان آمالهما,4.5
محمد صلاح يسجل هدفه 200 مع ليفربول ويقود فريقه للفوز على كريستال بالاس,3.7
السماح لرياضيي روسيا وبيلاروسيا بالمشاركة في أولمبياد باريس 2024 تحت علم محايد بشروط صارمة,2.2
القضاء الفرنسي يؤكد أن الدولي المغربي أشرف حكيمي واجه امرأة اتهمته باغتصابها,1.2
صلاح وحكيمي وأوسيمهن يتنافسون للظفر بجائزة أفضل لاعب في القارة الأفريقية لعام 2023,2.9
الادعاء الإيطالي يطالب بإيقاف الدولي الفرنسي بول بوغبا أربعة أعوام في قضية منشطات,2.1
دوري أبطال أفريقيا: قمة بين الأهلي وبلوزداد والبحث عن تعديل المسار للنجم والوداد,3.7
مجلة تايم الأمريكية تمنح جائزة أفضل رياضي في عام 2023 للأرجنتيني ليونيل ميسي,2.1
الدوري الإنكليزي: فوز مثير لأرسنال 4-3 على لوتون تاون بفضل هدف رايس في الدقائق الأخيرة,3.9
"""ظاهرة خطيرة""... لماذا تتغيب الجماهير المصرية عن المدرجات في مباريات ""الفراعنة""؟",2.7
كأس الاتحاد الأفريقي: الفرق العربية تحقق الفوز في الجولة الثانية من دور المجموعات,3.7
إنتر ميلان يستعيد صدارة الدوري الإيطالي ويرجع يوفنتوس للمركز الثاني,3.4
كأس أمم أوروبا 2024: إيطاليا حاملة اللقب في مجموعة الموت إلى جانب إسبانيا وكرواتيا,2.2
"كرة القدم: ميسي يرغب ""أكثر من أي وقت مضى"" بالمشاركة في مونديال 2026",4.5
يوفنتوس يتصدر الدوري الإيطالي في انتظار مباراة إنتر ميلان مع نابولي,3.5
باخ يشيد باستعدادات باريس لاستضافة الألعاب الأولمبية بعد زيارة قرية الرياضيين,2.7
نادال يعلن عودته إلى المنافسة وسيكون حاضرا في دورة بريزبين مطلع العام المقبل,1.3
بوتشيتينو لن يغامر بإشراك نكونكو قبل تعافيه التام,0.8
غليسون مدربةً لمنتخب ايرلندا للسيدات,2.1
نادال: حان وقت العودة,0.4
نجم برشلونة يواسي دافيد الابا,1.3
كيميتش على اعتاب الدخول الى الدوري السعودي,2.3
كيكي سانشيز مدربا جديدا لإشبيلية,1.3
لابورتا: برشلونة لم يفقد حظوظه في اي مسابقة,0.8
تمثيل المنتخب,1.0
سجل ايجابي لبرشلونة امام نابولي اوروبيا,0.6
معسكر وودية للبنان استعدادا لكأس آسيا,0.6
مونديال الأندية: مانشستر سيتي يستهل رحلة الخماسية,1.5
بوتراغينيو: مواجهة لايبزيغ ليست كما يظنها البعض,0.7
اليسون: كل تصميم السيارة لم يكن جيدًا,0.7
ماتزاري: مواجهة برشلونة ستكون تحديًّا رائعاً,0.6
باتون يؤكد قدرة هاميلتون على العودة,0.6
المدير الرياضي لارسنال : بورتو منافس صعب,1.5
فريق البين يكمل عملية بيع جزء من اسهمه,0.8
قرعة دوري المؤتمر الأوروبي: صدام بين بيتيس ودينامو زغرب وأياكس يواجه بودو خليمت,2.1
ريكيلمي رئيسا جديدا لبوكا جونيورز الارجنتيني,0.6
هاميلتون: انا متأكد اننا سننتج سيارة قوية لموسم 2024,0.9
انزاغي: سعيد بمواجهة أتلتيكو مدريد,0.5
اول تعليق من بايرن ميونيخ على مواجهة لاتسيو,0.8
ماركو: فرستابن ينفذ صبره بسرعة,0.5
مدرب كوبنهاغن: سنواجه الفريق الأفضل في العالم,2.3
ريال مدريد مهتم بنجم أتالانتا سكالفيني,2.2
"نادي الغولّف نظّم "" كأس الرئيس """,1.5
ستيلا: لا يجب علينا رفع التوقعات,0.6
فاران يسعى الى التجديد مع مانشستر يونايتد,0.7
قرعة الدوري الأوروبي: مواجهة متجدّدة بين روما وفينورد ومارسيليا يواجه شاختار,2.7
سباح أولمبي روسي يرفض الخضوع لشروط اللجنة الأولمبية,0.8
مورينيو يسخر من توتنهام,0.4
لايبزيغ واثق من قدرته في الفوز على مدريد,2.4
كأس إفريقيا للاعبين المحليين: كينيا تستضيف نسخة 2024 مشاركة مع تنزانيا وأوغندا,2.0
ديكو: مواجهة نابولي ستكون جيّدة وممتعة,0.6
زانيتي: سنقدم أفضل ما لدينا في كلتا المباراتين,0.8
بروتوكول تعاون بين الاتحادين اللبناني والايطالي للمبارزة,0.7
16 فوزاً في 16 مباراة تضع أيندهوفن على عتبة معادلة رقم تاريخي,2.8
أول تعليق من مانشستر سيتي على مواجهة كوبنهاغن في دوري الأبطال,1.9
"منتخب مصرللاسكواش يحتفظ بلقب بطولة العالم..ويحتفل برقصة ""الحرية""",4.0
راينر قلق من زيادة عدد الفرق في كأس العالم للأندية,1.8
                            تتجه أنظار عشاق كرة القدم، مساء اليوم الاثنين، صوب مدينة جدة السعودية، التي تحتضن المباراة المرتقبة بين فريقي الأهلي المصري وفلومينينسي البرازيلي، ضمن بطولة كأس العالم للأندية.                         ,8.3
"                            رفضت اللاعبة الأوكرانية مارتا كاستيوك مواجهة جارتها الروسية ميرا أندرييفا، في المباراة النهائية لبطولة ""Negometal Open"" الاستعراضية للتنس للسيدات، في فرنسا.                         ",7.7
"                            وجه نادي الأهلي المصري رسالة شكر للسعودية على ""حفاوة الاستقبال""، مؤكدا على ثقته بأن الجماهير السعودية ستسانده في مشواره ضمن بطولة كأس العالم للأندية لكرة القدم، المقامة في الرياض.                         ",9.3
